Image,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
,Why is a monopolistically competitive firm's long-run equilibrium characterized by neither allocative nor productive efficiency?,Firms produce at the lowest average total cost,Demand is perfectly inelastic for all firms,The presence of differentiated products disrupts efficient resource allocation,Because firms set price equal to marginal cost,,
,Why might an increase in the number of firms result in a leftward shift of the monopolistically competitive firm's demand curve?,It indicates a complete breakdown of product differentiation across the market,It represents a rise in individual firm control,It signals increased consumer demand,It reflects greater competition and substitutes,,
,How does non-price competition in monopolistic competition help maintain a firm's customer base without reducing prices?,By eliminating substitutes from the market through aggressive pricing strategies,By improving product quality and marketing,Through standardizing products to reduce costs,By raising prices to signal exclusivity,,
,In what way does the elasticity of a monopolistic firm's demand curve affect its ability to earn economic profits in the short run?,Perfect elasticity guarantees infinite profit,Less elasticity means greater control over pricing and potential profits,Greater elasticity means less competition but more control,Elasticity has no effect on short-run profits,,
,How does the presence of differentiated products contribute to excess capacity in monopolistic competition?,It increases the number of firms while simultaneously decreasing overall product variety in the market,It encourages firms to operate beyond their normal capacity to satisfy unique consumer demands,It causes firms to operate below minimum efficient scale,It forces firms to consolidate their available resources to remain competitive and efficient,,
,Why do firms retain some degree of market power in monopolistic competition despite the presence of many competitors?,Because of uniform pricing strategies across the market,Because market power is evenly split among firms,"Because they offer unique, differentiated products",Due to government regulation,,
,In what way does low barrier to entry impact productive efficiency in monopolistic competition?,It prevents long-run productive efficiency,It ensures firms always produce at minimum average total cost in the long run,It drives firms to produce beyond capacity,It sustains economic profits indefinitely,,
,Why might the demand curve for a monopolistically competitive firm not remain static in the long run?,Constant price changes,Ineffective advertising campaigns reduce market share,Entry and exit of firms,Permanent changes in consumer preferences,,
,How does product differentiation play a role in allocative inefficiency in monopolistic competition?,It enhances consumer satisfaction without increasing costs,It promotes product substitution leading to efficiency,It diverts resources from optimal allocation due to focus on unique attributes,It creates identical utility across all products,,
,An oligopoly is best described as a market structure with:,Many small firms,One large firm,A few large firms,No firms,,
